condition,system,autonomous_coverage,abstain_escalate_rate,unsafe_autonomous_count,autonomous_count,selective_unsafe_risk,missed_onset_events,n_onset_events,event_detection_rate,false_alerts_per_day
clean,A_DIRECT,1.0,0.0,60,52980,0.0011325028312570782,4,5,0.19999999999999996,0.6632061760320127
clean,B_HYBRID,1.0,0.0,64,52980,0.0012080030200075501,4,5,0.19999999999999996,0.2609335774552181
clean,C_RELIABILITY_AWARE,0.8658361645904115,0.1341638354095885,55,45872,0.0011989884897104987,4,5,0.19999999999999996,0.2609335774552181
missing_sensor_subset,A_DIRECT,1.0,0.0,53,52980,0.0010003775009437524,3,5,0.4,9.589308971479266
missing_sensor_subset,B_HYBRID,1.0,0.0,65,52980,0.001226878067195168,5,5,0.0,8.213971573642386
missing_sensor_subset,C_RELIABILITY_AWARE,0.0,1.0,0,0,,5,5,0.0,8.213971573642386
additive_noise,A_DIRECT,1.0,0.0,47,52980,0.0008871272178180446,0,5,1.0,46.4189962060439
additive_noise,B_HYBRID,1.0,0.0,60,52980,0.0011325028312570782,1,5,0.8,16.97699088318013
additive_noise,C_RELIABILITY_AWARE,0.8334277085692714,0.16657229143072858,56,44155,0.0012682595402559167,1,5,0.8,16.97699088318013
conflicting_evidence,A_DIRECT,1.0,0.0,57,52980,0.0010758776896942243,3,5,0.4,1.4623152569886182
conflicting_evidence,B_HYBRID,1.0,0.0,63,52980,0.0011891279728199321,4,5,0.19999999999999996,0.505558806319485
conflicting_evidence,C_RELIABILITY_AWARE,0.8658172895432239,0.13418271045677616,54,45871,0.0011772143620152166,4,5,0.19999999999999996,0.505558806319485
sensor_dropout,A_DIRECT,1.0,0.0,59,52980,0.0011136277840694602,3,5,0.4,20.999716868948074
sensor_dropout,B_HYBRID,1.0,0.0,64,52980,0.0012080030200075501,4,5,0.19999999999999996,5.8275165631665375
sensor_dropout,C_RELIABILITY_AWARE,0.8704416761041902,0.12955832389580973,56,46116,0.0012143290831815423,4,5,0.19999999999999996,5.8275165631665375
