condition,system,n_rows,autonomous_coverage,abstain_escalate_rate,unsafe_autonomous_count,autonomous_count,selective_unsafe_risk,unsafe_timestep_rate,missed_onset_events,n_onset_events,event_detection_rate,non_onset_alert_episodes_per_day
clean,A_DIRECT,105108,1.0,0.0,239,105108,0.0022738516573429,0.0022738516573429,18,19,0.0526315789473684,0.7726982979249718
clean,B_HYBRID,105108,1.0,0.0,245,105108,0.0023309357993682,0.0023309357993682,18,19,0.0526315789473684,0.4055296031662972
clean,C_RELIABILITY_AWARE,105108,0.8616756098489173,0.1383243901510827,225,90569,0.0024842937428921,0.0021406553259504,18,19,0.0526315789473684,0.4055296031662972
missing_sensor_subset,A_DIRECT,105108,1.0,0.0,236,105108,0.0022453095863302,0.0022453095863302,15,19,0.2105263157894736,5.956901062726555
missing_sensor_subset,B_HYBRID,105108,1.0,0.0,243,105108,0.0023119077520264,0.0023119077520264,16,19,0.1578947368421053,5.608912822171692
missing_sensor_subset,C_RELIABILITY_AWARE,105108,0.0,1.0,0,0,,0.0,16,19,0.1578947368421053,5.608912822171692
additive_noise,A_DIRECT,105108,1.0,0.0,203,105108,0.0019313468051908,0.0019313468051908,2,19,0.8947368421052632,38.53901262522953
additive_noise,B_HYBRID,105108,1.0,0.0,230,105108,0.0021882254443049,0.0021882254443049,7,19,0.631578947368421,14.527824026943971
additive_noise,C_RELIABILITY_AWARE,105108,0.8456349659397953,0.1543650340602047,207,88883,0.0023289042899092,0.0019694028998744,7,19,0.631578947368421,14.527824026943971
conflicting_evidence,A_DIRECT,105108,1.0,0.0,237,105108,0.0022548236100011,0.0022548236100011,16,19,0.1578947368421053,1.3590721835843476
conflicting_evidence,B_HYBRID,105108,1.0,0.0,244,105108,0.0023214217756973,0.0023214217756973,17,19,0.1052631578947368,0.6274748589532572
conflicting_evidence,C_RELIABILITY_AWARE,105108,0.8616756098489173,0.1383243901510827,225,90569,0.0024842937428921,0.0021406553259504,17,19,0.1052631578947368,0.6274748589532572
sensor_dropout,A_DIRECT,105108,1.0,0.0,216,105108,0.0020550291129124,0.0020550291129124,8,19,0.5789473684210527,17.377491508653087
sensor_dropout,B_HYBRID,105108,1.0,0.0,237,105108,0.0022548236100011,0.0022548236100011,11,19,0.4210526315789473,5.2006431541191365
sensor_dropout,C_RELIABILITY_AWARE,105108,0.8657856680747422,0.1342143319252578,226,91001,0.0024834891924264,0.0021501693496213,11,19,0.4210526315789473,5.2006431541191365
