dma,n,naive_mae,weather_ridge_mae,naive_rmse,weather_ridge_rmse
DMA 1,168,1.092886904761905,0.930734769219791,1.3691261985730343,1.2263645867621817
DMA 2,168,1.8261458333333334,1.4723113409724051,2.4285595577003294,1.8498481155790891
DMA 3,166,1.562575301204819,1.3332991966467371,1.9617537622737415,1.576285547284566
DMA 4,166,3.1220933734939775,2.4808411476582073,3.7766473057446026,2.976533176535921
DMA 5,168,2.1883630952380946,1.8060389472601124,2.9260189642527377,2.4222224537543506
DMA 6,168,1.0206249999999981,0.7500911209559524,1.3419252283388883,1.022972128011604
DMA 7,163,2.275260736196319,1.9320536682316665,2.832382834824088,2.3610521677419247
DMA 8,63,1.8934920634920638,1.9571256870666074,2.3926340336640743,2.418997865367981
DMA 9,168,1.2904613095238096,1.1154978510925226,1.812909980315126,1.5671703177551544
DMA 10,168,1.5594940476190478,1.1786304986280236,1.9954972937603204,1.4516673741234873
